Verkiezingen Gemeenteraad 2002 en 1998, Amsterdam;;;;;;;;
;;;;;;;;
;;;absoluut;;procenten;;zetels;
politieke groepering;lijst;pol. gr. afgekort;GR2002;GR1998;GR2002;GR1998;GR2002;GR1998
;;;;;;;;
partij van de arbeid;1;PVDA;77792;74188;28,6;28,0;15;15
vvd;2;VVD;48804;49109;18,0;18,5;9;9
groenlinks;3;GRLINKS;35197;39197;13,0;14,8;6;7
d66;4;D66;19600;22345;7,2;8,4;3;4
sp (socialistische partij);5;SP;20777;18754;7,7;7,1;4;3
christen democratisch appèl;6;CDA;21460;16350;7,9;6,2;4;3
amsterdam anders/de groenen;7;AA/DG;9590;15082;3,5;5,7;1;3
mokum mobiel '99;8;MM99;6123;5922;2,3;2,2;1;1
rijdend nederland;9;RIJDN;722;;0,3;;;
nationale democratische partij;10;NDP;593;;0,2;;;
humanistische partij amsterdam;11;HP;900;811;0,3;0,3;;
amsterdam leeft!;12;LEEFT;4630;;1,7;;;
nieuwe nationale partij;13;NNP;773;;0,3;;;
jongeren partij nederland;14;JPN;420;;0,2;;;
nieuwe communistische partij;15;NCPN;819;968;0,3;0,4;;
christenunie;16;CHRUN;3719;1858;1,4;0,7;;
actieve stad;18;ACSTD;2758;;1,0;;;
leefbaar amsterdam la 92;19;LA92;13958;1517;5,1;0,6;2;
arabische democratische partij;20;ADP;922;;0,3;;;
toekomst21;21;T21;2028;1579;0,7;0,6;;
vorige partijen;;;;17287;;6,5;;
totaal geldige stemmen/zetels;;;271585;264967;100;100;45;45
niet-kiezende kiezers;;;296953;296345;;52,8;;
kiesgerechtigden;;;568538;561312;;;;
opkomstpercentage;;;;;47,8;47,2;;
;;;;;;;;
;;;;;;;;Bron: RA/O+S
