Zetelverdeling van de Gemeenteraad naar de politieke groeperingen en opkomstpercentage, 1982-2002;;;;;;;
;;;;;;;
politieke groepering;pol. grp. afgekort;1982;1986;1990;1994;1998;2002
;;;;;;;
partij van de arbeid;pvda;16;21;12;14;15;15
vvd;vvd;10;7;7;8;9;9
groenlinks;grlinks;;;7;6;7;6
christen democratisch appèl;cda;7;6;5;3;3;4
sp (socialistische partij);sp;;;;1;3;4
d66;d66;2;3;9;8;4;3
leefbaar amsterdam la 92;la92;;;;;;2
amsterdam anders/de groenen;aa/dg;;1;2;1;3;1
mokum mobiel '99;mok99;;;;;1;1
centrumdemocraten;cd;;;2;4;;
centrumpartij '86;cp86;;1;1;;;
politieke partij radikalen;ppr;1;;;;;
communistische partij van nederland;cpn;6;;;;;
pacifistische socialistische partij;psp;3;;;;;
links akkoord (cpn, psp, ppr, evp);linksakk;;6;;;;
totaal;;45;45;45;45;45;45
opkomstpercentage;;57,5;61,9;50,7;56,9;47,2;47,8
;;;;;;;
;;;;;;;Bron: RA/O+S
