Tabel 1  Verkiezingen Gemeenteraad Amsterdam 2006;;;;;;;;
;;;;;;;;
;;;absoluut;;procenten;;zetels;
politieke groepering;lijst;pol. gr. afgekort;2002;2006;2002;2006;2002;2006
;;;;;;;;
Partij van de Arbeid (P.v.d.A.);1;PVDA;77792;119651;28,6;39,4;15;20
VVD;2 1);VVD;48804;49172;18,0;16,2;9;8
GROENLINKS;3;GL;35197;41563;13,0;13,7;6;7
Christen Democratisch Appèl (CDA);4;CDA;21460;12715;7,9;4,2;4;2
SP (Socialistische Partij);5;SP;20777;40637;7,7;13,4;4;6
Democraten 66 (D66);6 1);D66;19600;12338;7,2;4,1;3;2
LEEFBAAR AMSTERDAM L A 92;7;LA 92;13958;4098;5,1;1,3;2;
AMSTERDAM ANDERS/De Groenen;8;AA/DG;9590;5935;3,5;2,0;1;
Mokum Mobiel;9;MM;6123;1740;2,3;0,6;1;
Partij van de Toekomst (PvdT);10;PVDT;;1419;;0,5;;
PARTIJ VAN AMSTERDAM;11;PVASD;;1043;;0,3;;
AMSTERDAM LEEFT !;12 2);ASDLEEFT;4630;819;1,7;0,3;;
Humanistische Partij Amsterdam (H.P.);13;HP;900;760;0,3;0,3;;
AMSTERDAM LOKAAL;14;ASDLOK;;891;;0,3;;
FVP / Ouderenpartij Noord-Holland;15;FVP/OPNH;;1804;;0,6;;
Nieuwe Communistische Partij-NCPN;16;NCPN;819;511;0,3;0,2;;
VIP Vooruitstrevende Integratie Partij;17;VIP;;325;;0,1;;
ChristenUnie;18;CHRUNIE;3719;4433;1,4;1,5;;
DUURZAAM NEDERLAND;19;DUURZNED;;662;;0,2;;
Liberaal Amsterdam;20;LIBASD;;784;;0,3;;
Amsterdam Transparant;21;ASDTRP;;445;;0,1;;
HUISJE-BOOMPJE-BEESTJE;22 2);HBB;;787;;0,3;;
NATIONALE DEMOCRATISCHE PARTIJ (NDP);23;NDP;593;196;0,2;0,1;;
Conservatieve Democraten (CD);24;CD;;1124;;0,4;;
vorige partijen;;;7623;;2,8;;;
totaal geldige stemmen/zetels;;;271585;303852;100;100;45;45
blanco stemmen;;;;1382;;;;
totaal + blanco stemmen;;;;305234;;;;
kiesgerechtigden;;;568538;579276;;;;
opkomstpercentage;;;;;47,8;52,7;;
;;;;;;;;
1) lijstcombinatie VVD en D66.;;;;;;;;bron: DPG/O+S
2) lijstcombinatie ASDLEEFT en HBB.;;;;;;;;
