Zetelverdeling van de Gemeenteraad naar de politieke groeperingen en opkomstpercentage, 1982-2006;;;;;;;;
;;;;;;;;
politieke groepering;pol. grp. afgekort;1982;1986;1990;1994;1998;2002;2006
;;;;;;;;
Partij van de Arbeid (P.v.d.A.);PVDA;16;21;12;14;15;15;20
VVD;VVD;10;7;7;8;9;9;8
GROENLINKS;GL;;;7;6;7;6;7
Christen Democratisch Appèl (CDA);CDA;7;6;5;3;3;4;2
SP (Socialistische Partij);SP;;;;1;3;4;6
Democraten 66 (D66);D66;2;3;9;8;4;3;2
LEEFBAAR AMSTERDAM L A 92;LA92;;;;;;2;
AMSTERDAM ANDERS/De Groenen;AA/DG;;1;2;1;3;1;
Mokum Mobiel;MM;;;;;1;1;
Centrumdemocraten;CD;;;2;4;;;
Centrumpartij '86;CP86;;1;1;;;;
Politieke Partij Radikalen;PPR;1;;;;;;
Communistische Partij van nederland;CPN;6;;;;;;
Pacifistische Socialistische Partij;PSP;3;;;;;;
Links Akkoord (CPN, PSP, PPR, EVP);Linksakk;;6;;;;;
totaal;;45;45;45;45;45;45;45
opkomstpercentage;;57,5;61,9;50,7;56,9;47,2;47,8;52,7
;;;;;;;;
;;;;;;;;bron: DPG/O+S
