16.1.1  Uitgebrachte geldige stemmen, blanco/ongeldige stemmen, kiesgerechtigden en opkomstpercentage bij de verkiezingen voor de Gemeenteraad, 2006 en 2010;;;;;;
             ;;;;;;
;;absoluut;;procenten;;
politieke groepering;pol. gr. afgekort;2006;2010;2006;2010;
;;;;;;
Partij van de Arbeid (P.v.d.A.);PVDA;119651;90067;39,4;29,3;
VVD;VVD;49172;52039;16,2;16,9;
GROENLINKS;GL;41563;46407;13,7;15,1;
SP (Socialistische Partij);SP;40637;22266;13,4;7,2;
Christen Democratisch Appèl (CDA);CDA;12715;10218;4,2;3,3;
Democraten 66 (D66);D66;12338;45524;4,1;14,8;
Tulpen voor Amsterdam;TVA;;1230;;0,4;
RED AMSTERDAM;REDASD;;11435;;3,7;
Partij voor Mens en Spirit;MENS;;1009;;0,3;
Amsterdamsche Belangen (AB) 1);AB;1043;1315;0,3;0,4;
De Groenen 2);AA/DG;5935;2001;2,0;0,7;
TROTS OP NEDERLAND LIJST RITA VERDONK;TROTSOPN;;7096;;2,3;
Partij voor de Dieren;PVDD;;7113;;2,3;
NATIONALE DEMOCRATISCHE PARTIJ (NDP);NDP;196;543;0,1;0,2;
Republikeinse Moderne Partij;RMP;;215;;0,1;
ChristenUnie;CU;4433;3860;1,5;1,3;
LEEFBAAR AMSTERDAM;LA;4098;3079;1,3;1,0;
Amsterdam Sociaal;ASDSOC;;1181;;0,4;
Lijst 19;L19;;696;;0,2;
Mokum Mobiel;MM;1740;;0,6;;
Partij van de Toekomst (PvdT);PVDT;1419;;0,5;;
AMSTERDAM LEEFT !;ASDLEEFT;819;;0,3;;
Humanistische Partij Amsterdam (H.P.);HP;760;;0,3;;
AMSTERDAM LOKAAL;ASDLOK;891;;0,3;;
FVP / Ouderenpartij Noord-Holland;FVP/OPNH;1804;;0,6;;
Nieuwe Communistische Partij-NCPN;NCPN;511;;0,2;;
VIP Vooruitstrevende Integratie Partij;VIP;325;;0,1;;
DUURZAAM NEDERLAND;DUURZ;662;;0,2;;
Liberaal Amsterdam;LIBASD;784;;0,3;;
Amsterdam Transparant;ASDTRP;445;;0,1;;
HUISJE-BOOMPJE-BEESTJE;HBB;787;;0,3;;
Conservatieve Democraten (CD);CD;1124;;0,4;;
totaal geldige stemmen;;303852;307294;100;100;
blanco/ongeldige stemmen;;1382;3355;;;
totaal stemmen;;305234;310649;;;
kiesgerechtigden;;579276;604583;;;
opkomstpercentage;;;;52,7;51,4;
;;;;;;
1) 2006 = PARTIJ VAM AMSTERDAM.;;;;;bron: DBI/O+S;
2) 2006 = AMSTERDAM ANDERS/De Groenen.;;;;;;
