11.3.1  Uitgebrachte geldige stemmen, blanco/ongeldige stemmen, kiesgerechtigden en opkomstpercentage bij de verkiezingen voor de Gemeenteraad, 2014 en 2018;;;;;;
;;;;;;
;;absoluut;;procenten;;
politieke groepering;pol. gr. afgekort;2014;2018;2014;2018;
;;;;;;
Democraten 66 (D66);D66;85241;55724;26,8;16,1;
Partij van de Arbeid (P.v.d.A.);PvdA;58461;37181;18,4;10,7;
VVD;VVD;35639;39702;11,2;11,4;
SP (Socialistische Partij);SP;35627;26070;11,2;7,5;
GROENLINKS;GL;34145;70880;10,7;20,4;
Partij voor de Dieren;PvdD;8944;24672;2,8;7,1;
CDA;CDA;8852;11991;2,8;3,5;
Partij van de Ouderen (P.v.d.O.);PvdO;6762;7752;2,1;2,2;
DENK;DENK;;23138;;6,7;
Platform Amsterdam;PlatfAsd ;;1407;;0,4;
destemvandestraat;StemvdStr;;899;;0,3;
Piratenpartij Amsterdam;PPAsd;5606;4459;1,8;1,3;
Staatkundig Gereformeerde Partij  (SGP);SGP;;546;;0,2;
Forum voor Democratie;FvD;;20015;;5,8;
U-Buntu Connected Front UCF;UCF;;1052;;0,3;
Basisinkomen Partij (BIpartij);BIpartij;602;635;0,2;0,2;
Blanco lijst (met 1e kandidaat van Oudenallen);Lijst17;;281;;0,1;
Partij voor Iedereen;PvIeder;;228;;0,1;
ChristenUnie;CU;5625;6837;1,8;2,0;
Amsterdam BIJ1;BIJ1;;6571;;1,9;
SAMEN Alle Mensen Één Nederland (SAMEN);SAMEN;;1158;;0,3;
Anti-Scooter Partij;A-SPartij;;696;;0,2;
Blije Burgers;BlijeBurg;;318;;0,1;
Carryonthemove;CarryotM;;126;;0,0;
QUEER;QUEER;;228;;0,1;
50PLUS;50Plus;;4233;;1,2;
De Republikeinse Politieke Partij;DRPP;174;89;0,1;0,0;
Blanco lijst (met 1e kandidaat Berendsen);Lijst28;;260;;0,1;
RED AMSTERDAM;REDASD;5038;;1,6;;
Multicultureel Plus Partij (M+);MPP;4319;;1,4;;
Partij van de Eenheid;PVDE;4231;;1,3;;
Partij Voor Vrije Amsterdammers (PVVA);PVVA;3912;;1,2;;
Ouderen Partij Amsterdam (OPA);OPA-ASD;3891;;1,2;;
LEEFBAAR AMSTERDAM;LA;2675;;0,8;;
Nieuwe Amsterdamse Toekomst (NAT);NAT;1506;;0,5;;
De Groenen;GROENEN;1427;;0,4;;
TROTS;TROTS;1200;;0,4;;
OMA Amsterdam;OMA;1063;;0,3;;
Radicale Oppositie Beweging (R.O.B.);ROB;711;;0,2;;
Amsterdam Sociaal;ASDSOC;697;;0,2;;
Libertarische Partij (LP);LP;667;;0,2;;
Visie Op Amsterdam (Lijst Ina Brouwer);VOA;600;;0,2;;
lijst Thonon;−−;130;;0,0;;
totaal geldige stemmen;;317745;347148;100;100;
blanco/ongeldige stemmen;;5193;4510;;;
totaal stemmen;;322938;351658;;;
kiesgerechtigden;;642286;674286;;;
opkomstpercentage;;;;50,3;52,2;
;;;;;;
;;;;;bron: afd. Basisinformatie/OIS;
