11.3.5  Zetelverdeling van de Gemeenteraad naar de politieke groeperingen en opkomstpercentage, 1994-2018;;;;;;;
;;;;;;;
politieke groepering;1994;1998;2002;2006;2010;2014;2018
;;;;;;;
Democraten 66 (D66);8;4;3;2;7;14;8
Partij van de Arbeid;14;15;15;20;15;10;5
VVD;8;9;9;8;8;6;6
SP (Socialistische Partij);1;3;4;6;3;6;3
GROENLINKS;6;7;6;7;7;6;10
Partij voor de Dieren;;;;;1;1;3
Christen Democratisch Appèl;3;3;4;2;2;1;1
Partij van de Ouderen;;;;;;1;1
DENK;;;;;;;3
Forum voor Democratie;;;;;;;3
ChristenUnie;;;;;;;1
Amsterdam BIJ1;;;;;;;1
RED AMSTERDAM;;;;;1;;
TROTS;;;;;1;;
LEEFBAAR AMSTERDAM;;;2;;;;
AMSTERDAM ANDERS/De Groenen;1;3;1;;;;
Mokum Mobiel;;1;1;;;;
Centrumdemocraten;4;;;;;;
totaal;45;45;45;45;45;45;45
opkomstpercentage;56,9;47,2;47,8;52,7;51,4;50,3;52,2
;;;;;;;
;;;;;;;bron: afd. Basisinformatie/OIS
