"ID";"KenmerkenPersonen";"Marges";"Perioden";"ToegangTotInternet_1";"TypeInternetverbindingBreedband_2";"PersonalComputerPCOfDesktop_3";"LaptopOfNetbook_4";"Tablet_5";"MobieleTelefoonOfSmartphone_6";"Spelcomputer_7";"SmartTVOfTVMetSetTopBox_8";"MinderDan3MaandenGeleden_9";"k_3Tot12MaandenGeleden_10";"MeerDan12MaandenGeleden_11";"NooitInternetGebruikt_12";"BijnaElkeDag_13";"MinstensEenKeerPerWeek_14";"MinderDanEenKeerPerWeek_15";"Thuis_16";"BijIemandAndersThuis_17";"OpHetWerk_18";"BijEenOnderwijsinstelling_19";"ErgensAnders_20";"Totaal_21";"MobieleTelefoonOfSmartPhone_22";"Laptop_23";"Tablet_24";"AndereMobieleApparatuur_25";"Totaal_26";"Chatten_27";"WeblogsLezenOfZelfBijhouden_28";"Totaal_29";"TekstberichtenUitwisselen_30";"SociaalNetwerk_31";"ProfessioneelNetwerk_32";"VersturenOntvangenEMails_33";"TelefonerenViaInternet_34";"PlaatsenMaatschappPolitiekeMening_35";"DeelnemenMaatschappOnlineDiscussies_36";"InformatieOverGoederenEnDiensten_37";"GebruikVanDienstenInDeReisbranche_38";"ZoekenVanBaanOfSolliciteren_39";"InformatieOverGezondheid_40";"LuisterenNaarRadio_41";"KijkenNaarTelevisie_42";"KrantenNieuwsbladenLezenDownloaden_43";"SpelletjesMuziekAfSpelenDownloaden_44";"FotoSMuziekTekstEtcUploaden_45";"SoftwareAndersDanSpellenDownloaden_46";"InformatieOverOpleidingenOfCursussen_47";"VolgenVanOnlineCursus_48";"AndereOnlineLeerStudeerActiviteiten_49";"ZoekenOpWebsites_50";"OfficieleDocumentenDownloaden_51";"IngevuldeDocumentenVersturen_52";"ZoekenOpWebsites_53";"OfficieleDocumentenDownloaden_54";"IngevuldeDocumentenVersturen_55";"ZoekenOpWebsites_56";"OfficieleDocumentenDownloaden_57";"IngevuldeDocumentenVersturen_58";"Telebankieren_59";"FinancieleDiensten_60";"VerkopenGoederenOfDiensten_61";"AfspraakZiekenhuisGezondheidscentrum_62";"CloudComputing_63";"TekstSpreadsheetsPresentaties_64";"FotoS_65";"EBooksOfEMagazins_66";"Muziek_67";"VideoSFilmOfTvProgrammaS_68";"AndereBestanden_69";"BetalingVoorOpslaanVanBestanden_70"
"24";"3000   ";"MW00000";"2012JJ00";"93.7";"83.8";"75.4";"75.4";;"60.9";"29.7";"22.5";"91.5";"0.5";"1";"7";"80.8";"9.2";"1.2";"90.1";"28.7";"48.4";"19.7";"19";"57.2";"45.3";"34.8";"18.9";;"64.1";"29.3";"21.3";"59.4";"33.4";"47";"23.4";"86.2";"26.5";;;"79.3";"47.1";"16.6";"45.8";"42.1";"41.2";"55.1";"57";"44.5";"38.3";"27";"5";;"61.2";"50.2";"52.5";"61.2";"50.2";"52.5";;;;"75.5";"8.6";"22.5";"9.9";;;;;;;;
"25";"3000   ";"MW00000";"2013JJ00";"94.4";"85.6";"73.2";"75.8";"46.2";"69.8";"27.3";"31.1";"92.3";"0.7";"0.5";"6.5";"82.8";"8.3";"0.9";"91.3";"31.7";"51.3";"20";"22.8";"66.1";"59.1";"27.7";"22.5";"1.9";"68.3";"28.7";"22.1";"63.6";"36.7";"50.6";"27";"87";"29.3";"31.1";"7.6";"80.1";"43.9";"18.1";"47.7";"41.4";"44.7";"56.8";"59.7";;"40.2";"28.2";"7.4";;"72.9";"55.5";"57.1";"65";"50.2";"50.3";"52.8";"27.1";"30.3";"76.1";"7.2";"21.9";;;;;;;;;
"26";"3000   ";"MW00000";"2014JJ00";"95.1";"94.1";"65.8";"77.3";"57.9";"77.4";"29";"43";"91.7";"0.7";"0.9";"6.7";"82.7";"7.3";"1.7";"91";"45.2";"53";"21.5";"43.7";"68.8";"63.1";"26.8";"24.4";"6.2";"75.4";"27";"22.6";"72.6";"63";"53.4";"29";"87.3";"31";;;"83.3";"46.5";"23.7";"53";"38.6";"48.6";"57.7";"60";"45";"36.6";"30";"9.3";;"73.2";"56.1";"58.5";"66.1";"50.6";"51";"59";"34.7";"38.5";"78.9";"10.7";"28.2";"13.4";"34.3";"24.5";"31.1";"5.6";"14.2";"10.5";"9";"5.2"
"27";"3000   ";"MW00000";"2015JJ00";"95";"93";"62.2";"78.2";"65.7";"79.9";"30.5";"42.5";"90.6";"1";"1.6";"6.7";"83.7";"5.5";"1.3";"89.6";"46.6";"53.7";"21.7";"43.9";"72.8";"68.1";"28.9";"26.7";"6.8";"76.9";"26.9";"22.9";"74.6";"66.7";"53.2";"31.2";"86.6";"31.5";"28.2";"8.9";"81.4";"45.8";"20.7";"51.3";"38.3";"47.9";"56.8";"59.7";"44";"35.1";"32.6";"7.9";"20.3";"68.1";"48.2";"53.9";"62.6";"43.9";"46.6";"51.8";"28.3";"32.8";"78.7";"11.1";"29.2";"14.9";"36.8";"23.9";"31.9";"5.4";"12.5";"10.7";"13.7";"4.9"
"28";"3000   ";"MW00000";"2016JJ00";"95.6";"94.2";"62";"80.2";"68.8";"86.1";"32.9";"49.5";"91.1";"0.7";"1.6";"6.6";"84.2";"5.9";"1";"90.2";"54.6";"55.6";"24.1";"52.7";"75.2";"72.7";"25.3";"23.5";"5.7";"80.3";"27.8";"22.3";"78.9";"74.5";"56.2";"31.9";"86.2";"37.5";"29.1";"10.2";"81";"45.8";"21.5";"52.5";"38.4";"48.1";"67.9";"59.4";"41.4";"32.8";"32.2";"9.1";"21.7";"67.7";"47.7";"54.1";"63.2";"44.2";"48.6";"48.4";"26.2";"30.5";"79.5";"6.2";"32.6";"17.8";"44";"27.8";"38.6";"6.3";"14";"12";"16.8";"7.7"
"29";"3000   ";"MW00000";"2017JJ00";"97.6";"96.7";"64.8";"82.9";"71.9";"90.4";"36.7";"55.6";"93.8";"0.8";"1.3";"4.1";"87.7";"4.8";"1.3";"92.8";"55.9";"59.3";"23";"57.3";"84.4";"81.1";"43.8";"38.6";"15.5";"85.1";"29.8";"24.3";"84.1";"79.1";"60.8";"33.9";"90.2";"43.8";"9.7";"11.2";"85.3";"50.5";"21.8";"61.5";"47.5";"63.1";"73.9";"66.7";"47.7";"36.8";"35.3";"10";"23.5";"71.2";"53.6";"56.3";"66.8";"48.9";"50.6";"52.6";"31.4";"33";"84.2";"6.8";"35.2";"23.6";"48.4";"31.2";"42.6";"7.2";"16.1";"13";"19.6";"9.3"
"30";"3000   ";"MW00000";"2018JJ00";"97.3";"96.9";"60.4";"83.4";"69.8";"91.5";"37.6";"56.9";"93.3";"0.7";"1.8";"4.2";"88.4";"4";"0.9";;;;;;"83.6";"81.1";"37";"28.6";"11.2";"85.9";"28.8";"24.3";"84.7";"81.4";"60.1";"35.9";"89.2";"55.8";;;"85.2";;"23.4";"63.1";;"58.8";"70.7";"62.1";"40.9";;;;;"74.4";"56.3";"61.4";"69";"51.4";"54.7";"57.4";"36.3";"39.4";"84.6";"9.6";"33.8";"25.9";"49.3";"33";"42.5";"7.5";"16.3";"14.6";"19.4";"12.3"
"31";"3000   ";"MW00000";"2019JJ00";"97.9";"97.3";"59.1";"84.7";"72.6";"93.5";"38.9";"64.8";"94.8";"0.5";"0.9";"3.8";"90.3";"3.9";"0.6";;;;;;"87";"85.1";"40.9";"30";"13.7";"88.3";"29.1";"26.7";"87.8";"84.6";"61.5";"37.2";"90.5";"59.2";"10.3";"10.4";"87.3";;"22.6";"66.5";;"66.2";"74.3";"74.4";"48.2";;"36.6";"13";"29.5";"74.5";"53.5";"58.8";"69.9";"49.9";"53.4";"53";"32";"34.1";"86.4";;"36.9";"28.2";"53.1";;;;;;;"15.5"
"32";"3000   ";"MOG0095";"2012JJ00";"92.7";"82.2";"73.4";"73.4";;"58.7";"27.7";"20.6";"90.3";"0.2";"0.6";"5.9";"79.1";"7.9";"0.7";"88.8";"26.5";"46.1";"17.9";"17.2";"55";"43.1";"32.7";"17.1";;"62";"27.2";"19.4";"57.2";"31.3";"44.7";"21.4";"84.7";"24.5";;;"77.6";"44.8";"14.8";"43.6";"39.8";"39";"52.9";"54.8";"42.3";"36.1";"25";"4";;"59";"48";"50.3";"59";"48";"50.3";;;;"73.6";"7.3";"20.6";"8.5";;;;;;;;
"33";"3000   ";"MOG0095";"2013JJ00";"93.4";"84.1";"71.2";"73.9";"43.9";"67.8";"25.3";"29";"91.2";"0.4";"0.2";"5.5";"81.2";"7.1";"0.5";"90.1";"29.5";"49.1";"18.2";"20.8";"64";"57";"25.6";"20.6";"1.3";"66.3";"26.6";"20.2";"61.5";"34.4";"48.3";"24.9";"85.6";"27.2";"28.9";"6.4";"78.4";"41.7";"16.2";"45.5";"39.1";"42.4";"54.6";"57.6";;"38";"26.1";"6.1";;"71";"53.3";"54.9";"62.9";"48";"48";"50.5";"25.1";"28.2";"74.4";"6";"20";;;;;;;;;
