"Stemgedrag stemgerechtigden Tweede Kamerverkiezingen 12-09-2012"
""
"";"Onderwerp"
"";"CDA";"PvdA";"VVD";"GroenLinks";"SP";"ChristenUnie";"PVV";"D66";"Overige politieke partijen";"Niet gestemd"
"Persoonskenmerken";"%";"%";"%";"%";"%";"%";"%";"%";"%";"%"
"Totaal persoonskenmerken";"6";"19";"20";"2";"7";"2";"8";"6";"5";"25"
"Geslacht: mannen";"6";"17";"21";"1";"7";"2";"9";"6";"4";"26"
"Geslacht: vrouwen";"6";"20";"19";"2";"7";"3";"6";"6";"5";"25"
"Leeftijd: 18 tot 25 jaar";"4";"16";"18";"1";"11";"1";"8";"8";"4";"30"
"Leeftijd: 25 tot 35 jaar";"1";"18";"19";"2";"5";"2";"7";"9";"4";"33"
"Leeftijd: 35 tot 45 jaar";"5";"18";"21";"3";"8";"2";"9";"7";"4";"25"
"Leeftijd: 45 tot 55 jaar";"4";"16";"24";"2";"9";"3";"7";"7";"5";"24"
"Leeftijd: 55 tot 65 jaar";"5";"30";"16";"2";"9";"4";"9";"4";"5";"17"
"Leeftijd: 65 tot 75 jaar";"11";"15";"23";"2";"2";"2";"7";"4";"8";"26"
"Leeftijd: 75 jaar of ouder";"22";"14";"17";"0";"3";"2";"6";"4";"3";"28"
"Burgerlijke staat: ongehuwd";"3";"18";"19";"3";"9";"1";"7";"9";"4";"27"
"Burgerlijke staat: gehuwd/partnerschap";"8";"19";"22";"1";"6";"3";"8";"4";"6";"23"
"Burgerlijke staat: gescheiden";"5";"21";"12";"2";"8";"2";"7";"4";"5";"35"
"Burgerlijke staat: verweduwd";"15";"16";"18";"0";"5";"3";"6";"6";"3";"27"
"Migratieachtergrond: Nederland";"7";"17";"21";"2";"8";"2";"8";"6";"5";"24"
"Migratieachtergrond: westers";"3";"23";"16";"3";"6";"3";"4";"5";"4";"33"
"Migratieachtergrond: niet-westers";"2";"31";"11";"0";"5";"1";"7";"6";"1";"35"
"Onderwijsniveau: basisonderwijs";"11";"19";"7";"0";"9";"2";"8";"0";"2";"41"
"Onderwijsniveau: lager beroepsonderwijs";"8";"14";"10";"1";"6";"3";"13";"1";"5";"39"
"Onderwijsniveau: avo onderbouw";"6";"14";"21";"1";"10";"1";"4";"3";"3";"38"
"Onderwijsniveau: havo, vwo, mbo";"6";"17";"21";"1";"8";"2";"9";"4";"5";"26"
"Onderwijsniveau: hbo, wo";"5";"24";"27";"5";"5";"3";"2";"15";"5";"8"
"Stedelijkheid: Zeer sterk stedelijk";"2";"27";"17";"3";"6";"2";"8";"10";"7";"20"
"Stedelijkheid: Sterk stedelijk";"6";"18";"18";"1";"9";"3";"9";"6";"5";"25"
"Stedelijkheid: Matig stedelijk";"6";"16";"27";"2";"7";"1";"7";"4";"5";"25"
"Stedelijkheid: Weinig stedelijk";"9";"15";"20";"2";"8";"3";"7";"6";"4";"28"
"Stedelijkheid: Niet stedelijk";"10";"18";"19";"1";"5";"2";"7";"3";"3";"32"
"Kerkelijke gezindte: geen";"2";"21";"21";"2";"9";"0";"9";"7";"4";"25"
"Kerkelijke gezindte: rooms-katholiek";"11";"16";"22";"1";"8";"1";"8";"4";"2";"28"
"Kerkelijke gezindte: Nederlands hervormd";"16";"10";"24";"2";"3";"2";"1";"3";"15";"24"
"Kerkelijke gezindte: protestants";"30";"7";"14";"3";"3";"12";"6";"5";"4";"16"
"Kerkelijke gezindte: overige";"5";"22";"13";"1";"3";"13";"2";"4";"8";"28"
"Kerkbezoek: één keer per week of vaker";"25";"7";"5";"1";"1";"18";"3";"2";"15";"24"
"Kerkbezoek: twee tot drie keer per maand";"17";"15";"20";"4";"6";"6";"4";"7";"3";"19"
"Kerkbezoek: één keer per maand";"10";"26";"23";"1";"3";"5";"7";"3";"6";"16"
"Kerkbezoek: minder dan één keer per mnd.";"10";"18";"19";"0";"7";"2";"7";"3";"1";"34"
"Kerkbezoek: zelden of nooit";"6";"17";"25";"2";"8";"0";"6";"6";"2";"27"
"Bron: CBS"
