Use of Social Media By Political Parties;Years;Twitter;Facebook;Instagram;LinkedIn
D66;;;;;
;2007;;;;
;2008;;;;
;2009;yes ;yes;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;;;;;
PVDA;;;;;
;2007;yes;;;
;2008;yes;;;
;2009;yes;;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;yes;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;;;;;
VVD;;;;;
;2007;yes;;;
;2008;yes;;;
;2019;yes;;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;;;;;
SP;;;;;
;2007;;;;
;2008;;;;
;2009;;yes;;
;2010;;yes;;
;2011;;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;;
;2015;yes;yes;;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;;;;;
GroenLinks;;;;;
;2007;;;;
;2008;yes;yes;;
;2009;yes;yes;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
;;;;;
CDA;;;;;
;2007;;;;
;2008;;;;
;2009;yes;;;
;2010;yes;yes;;
;2011;yes;yes;;
;2012;yes;yes;;
;2013;yes;yes;;
;2014;yes;yes;yes;
;2015;yes;yes;yes;
;2016;yes;yes;yes;
;2017;yes;yes;yes;
;2018;yes;yes;yes;
