8.8.2   Amsterdammers van 18 jaar en ouder met een tablet, laptop of vaste pc in het huishouden naar leeftijdsgroepen,;;;;;;;;;;;;;
            2012-2018 (procenten);;;;;;;;;;;;;
;;;;;;;;;;;;;
;tablet;laptop;vaste pc;;;;;;;;;;
;;;;;;;;;;;;;
2018;;;;;;;;;;;;;
18-24 jaar;54;92;49;;;;;;;;;;
25-34 jaar;56;93;36;;;;;;;;;;
35-54 jaar;71;89;52;;;;;;;;;;
55 jaar en ouder;54;66;52;;;;;;;;;;
;;;;;;;;;;;;;
Amsterdam 2018;61;84;47;;;;;;;;;;
Amsterdam 2016;62;84;48;;;;;;;;;;
Amsterdam 2014;52;75;51;;;;;;;;;;
Amsterdam 2012;32;74;54;;;;;;;;;;
;;;;;;;;;;;;;
;;;bron: OIS/De Staat van de Stad Amsterdam;;;;;;;;;;
