;Twitter;Facebook;Instagram;LinkedIn
D66;;;;
amount of followers;209000;70381;149000;7913
amount of content ;23300;;271;
PVDA;;;;
amount of followers;148800;48025;9562;4781
amount of content ;17200;;390;
VVD;;;;
amount of followers ;241200;107053;32000;13056
amount of content ;17300;;832;
SP;;;;
amount of followers ;4477;87580;5325;1512
amount of content ;4320;;317;
GROENLINKS;;;;
amount of followers ;137400;83429;241000;6990
amount of content ;19100;;250;
CDA;;;;
amount of followers ;50400;50986;8881;6922
amount of content ;36500;;900;
